Date,NeuralNetwork
2020-09-11,-3.890506463533061e-05
2020-09-14,0.0
2020-09-15,0.0
2020-09-16,0.0
2020-09-17,-0.0069961715384261325
2020-09-18,-0.006965623084101535
2020-09-21,-0.016876596250067988
2020-09-22,-0.02541810105292086
2020-09-23,-0.02424980427842649
2020-09-24,-0.0444459864539789
2020-09-25,-0.052941780213730194
2020-09-28,-0.025448552222206544
2020-09-29,-0.02295177687232197
2020-09-30,-0.015966351395848788
2020-10-05,-0.019710068887308974
2020-10-06,-0.009207992785082109
2020-10-07,-0.016484067917903245
2020-10-08,-0.011736345648721613
2020-10-12,-0.010959841706459805
2020-10-13,-0.015190196169965198
2020-10-14,-0.015879023295644945
2020-10-15,-0.023026255228584258
2020-10-16,-0.025056624273401384
2020-10-19,-0.021170614530354515
2020-10-20,-0.02141362858020346
2020-10-21,-0.025432734466094953
2020-10-22,-0.017208754274730342
2020-10-23,-0.02079849014909152
2020-10-26,-0.014358829420496044
2020-10-27,-0.014180769502475044
2020-10-28,-0.017705111077988778
2020-10-29,-0.029371068049591442
2020-10-30,-0.03165365660603592
2020-11-02,-0.023700690511060385
2020-11-03,-0.016504912393553672
2020-11-04,-0.014379632920249907
2020-11-05,-0.011955623347193467
2020-11-06,-0.005550688337730203
2020-11-09,0.0
2020-11-10,0.0
2020-11-11,0.0
2020-11-12,-0.004377966287866575
2020-11-13,-0.004591848079390726
2020-11-16,0.0
2020-11-17,0.0
2020-11-18,0.0
2020-11-19,-0.0013179527820141868
2020-11-20,-0.00376135459479221
2020-11-23,0.0
2020-11-24,-0.006440616994071613
2020-11-25,-0.007313954467878747
2020-11-26,-0.0010875004767203489
2020-11-27,-0.0007770046687053389
2020-11-30,-0.014404959627602132
2020-12-01,-0.005943434508037582
2020-12-02,-0.000207132628173734
2020-12-03,0.0
2020-12-04,0.0
2020-12-07,0.0
2020-12-08,0.0
2020-12-09,0.0
2020-12-10,-0.009818467316306423
2020-12-11,-0.007049897374855174
2020-12-14,-0.012124298458186078
2020-12-15,-0.024269546471473058
2020-12-16,-0.012973887403798345
2020-12-17,-0.012168414785919235
2020-12-18,-0.013500880726249442
2020-12-21,-0.004038462904351947
2020-12-22,-0.018933616001894027
2020-12-23,-0.01591388138594596
2020-12-24,-0.009392969044433097
2020-12-25,-0.0015516426619537338
2020-12-28,0.0
2020-12-29,-0.0027555208693245126
2020-12-30,0.0
2020-12-31,0.0
2021-01-04,0.0
2021-01-05,0.0
2021-01-06,0.0
2021-01-07,0.0
2021-01-08,0.0
2021-01-11,0.0
2021-01-12,-0.008540155371132618
2021-01-13,0.0
2021-01-14,-0.0071920269189618136
2021-01-15,-0.018385473047099143
2021-01-18,-0.020789021353359582
2021-01-19,-0.004045680859749212
2021-01-20,-0.02247822046933501
2021-01-21,-0.008005158560782655
2021-01-22,-0.008319612958999634
2021-01-25,-0.004754626995527311
2021-01-26,-0.022857834882440198
2021-01-27,-0.020169200326405567
2021-01-28,-0.03908721415260097
2021-01-29,-0.05276736191934739
2021-02-01,-0.04172981803910203
2021-02-02,-0.01125925870154576
2021-02-03,-0.010868522204595221
2021-02-04,-0.006592925662983751
2021-02-05,0.0
2021-02-17,0.0
2021-02-18,0.0
2021-02-19,-0.010425228598460623
2021-02-22,0.0
2021-02-23,0.0
2021-02-24,-0.014599118411012912
2021-02-25,0.0
2021-02-26,-0.019152283172817475
2021-03-02,-0.026554143233262884
2021-03-03,-0.010375820919561685
2021-03-04,-0.03434898555980259
2021-03-05,-0.044749660859257245
2021-03-08,-0.047010443575349226
2021-03-09,-0.03548444091452885
2021-03-10,-0.038956758653155066
2021-03-11,-0.017381253607311575
2021-03-12,-0.007568384716628684
2021-03-15,-0.00011908251432035666
2021-03-16,0.0
2021-03-17,0.0
2021-03-18,0.0
2021-03-19,-0.0015184087988729944
2021-03-22,0.0
2021-03-23,-0.014912506943527193
2021-03-24,-0.018722285459567556
2021-03-25,-0.023075556142837184
2021-03-26,-0.0018101086285361445
2021-03-29,0.0
2021-03-30,0.0
2021-03-31,-0.0002506640297977869
2021-04-01,-0.0005876094879222471
2021-04-07,0.0
2021-04-08,0.0
2021-04-09,0.0
2021-04-12,0.0
2021-04-13,0.0
2021-04-14,0.0
2021-04-15,0.0
2021-04-16,0.0
2021-04-19,0.0
2021-04-20,0.0
2021-04-21,-0.004744914666621525
2021-04-22,-0.009502164802847268
2021-04-23,-0.010846683364756138
2021-04-26,0.0
2021-04-27,0.0
2021-04-28,-0.004108096226077329
2021-04-29,-0.0085150540158353
2021-05-03,-0.012393184214879227
2021-05-04,-0.04637400682306203
2021-05-05,-0.04940249074421521
2021-05-06,-0.044304952138444986
2021-05-07,-0.022906235590845037
2021-05-10,0.0
2021-05-11,-0.03880229147269387
2021-05-12,-0.09896069498232674
2021-05-13,-0.1224883583522568
2021-05-14,-0.12469549035539873
2021-05-17,-0.16780900535832466
2021-05-18,-0.1027572523451159
2021-05-19,-0.08562808376164999
2021-05-20,-0.08964511270079423
2021-05-21,-0.06102057378587811
2021-05-24,-0.04920573671682693
2021-05-25,-0.048127117684252374
2021-05-26,-0.0320435143011325
2021-05-27,-0.011049028340482825
2021-05-28,0.0
2021-05-31,0.0
2021-06-01,0.0
2021-06-02,-0.00610456566995321
2021-06-03,-0.0022820615738179395
2021-06-04,-0.00914000206995158
2021-06-07,-0.008291663343248379
2021-06-08,-0.00799885312558224
2021-06-09,-0.017386195299923135
2021-06-10,-0.008487065741719535
2021-06-11,-0.006952002921069567
2021-06-15,-0.001104989281200286
2021-06-16,-0.0057921845130805005
2021-06-17,-0.004798718982923611
2021-06-18,-0.01432648849075624
2021-06-21,-0.03217577292993623
2021-06-22,-0.03401438416559577
2021-06-23,-0.01577939814061502
2021-06-24,-0.01608431129339094
2021-06-25,-0.011886715720924479
2021-06-28,-0.012913640696318396
2021-06-29,-0.01490642093488348
2021-06-30,-0.006929093466464531
2021-07-01,-0.011434847528885794
2021-07-02,-0.009766846264285589
2021-07-05,0.0
2021-07-06,-0.000996768985979668
2021-07-07,-0.004871739751297066
2021-07-08,-1.578574784577569e-05
2021-07-09,-0.008095509359585695
2021-07-12,-0.0025638160214810357
2021-07-13,-0.0006461614613746391
2021-07-14,0.0
2021-07-15,0.0
2021-07-16,0.0
2021-07-19,-0.006880596076957901
2021-07-20,-0.017452254256940525
2021-07-21,-0.02024031546641014
2021-07-22,-0.011020550837066545
